round,date,release,trap_ID,sample,distance,species,gender,marking_status,n_adults,lat,long
A,2019-11-07,2019-11-06,100-1,1,100,Ae. aegypti,female,unmarked,1,26.523715,-82.18971
A,2019-11-06,2019-11-06,100-2,2,100,Ae. aegypti,male,marked,4,26.522929,-82.190153
A,2019-11-06,2019-11-06,100-2,2,100,Ae. aegypti,female,unmarked,1,26.522929,-82.190153
A,2019-11-07,2019-11-06,100-2,2,100,Ae. aegypti,male,marked,1,26.522929,-82.190153
A,2019-11-07,2019-11-06,100-2,2,100,Ae. aegypti,female,unmarked,1,26.522929,-82.190153
A,2019-11-07,2019-11-06,100-2,2,100,Ae. aegypti,male,unmarked,1,26.522929,-82.190153
A,2019-11-09,2019-11-06,100-2,2,100,Ae. aegypti,male,unmarked,1,26.522929,-82.190153
A,2019-11-10,2019-11-06,100-2,2,100,Ae. aegypti,male,marked,1,26.522929,-82.190153
A,2019-11-10,2019-11-06,100-2,2,100,Ae. aegypti,female,unmarked,2,26.522929,-82.190153
A,2019-11-10,2019-11-06,100-2,2,100,Ae. aegypti,male,unmarked,1,26.522929,-82.190153
A,2019-11-06,2019-11-06,100-3,3,100,Ae. aegypti,female,marked,2,26.522949,-82.191294
A,2019-11-06,2019-11-06,100-3,3,100,Ae. aegypti,male,marked,11,26.522949,-82.191294
A,2019-11-06,2019-11-06,100-3,3,100,Ae. aegypti,female,unmarked,2,26.522949,-82.191294
A,2019-11-06,2019-11-06,100-3,3,100,Ae. aegypti,male,unmarked,2,26.522949,-82.191294
A,2019-11-07,2019-11-06,100-3,3,100,Ae. aegypti,male,marked,3,26.522949,-82.191294
A,2019-11-07,2019-11-06,100-3,3,100,Ae. aegypti,female,unmarked,3,26.522949,-82.191294
A,2019-11-09,2019-11-06,100-3,3,100,Ae. aegypti,female,unmarked,4,26.522949,-82.191294
A,2019-11-10,2019-11-06,100-3,3,100,Ae. aegypti,female,unmarked,7,26.522949,-82.191294
A,2019-11-11,2019-11-06,100-3,3,100,Ae. aegypti,female,unmarked,2,26.522949,-82.191294
A,2019-11-06,2019-11-06,100-4,4,100,Ae. aegypti,male,marked,4,26.523731,-82.191744
A,2019-11-07,2019-11-06,100-4,4,100,Ae. aegypti,female,marked,1,26.523731,-82.191744
A,2019-11-07,2019-11-06,100-4,4,100,Ae. aegypti,male,marked,6,26.523731,-82.191744
A,2019-11-07,2019-11-06,100-4,4,100,Ae. aegypti,female,unmarked,5,26.523731,-82.191744
A,2019-11-07,2019-11-06,100-4,4,100,Ae. aegypti,male,unmarked,1,26.523731,-82.191744
A,2019-11-08,2019-11-06,100-4,4,100,Ae. aegypti,female,marked,1,26.523731,-82.191744
A,2019-11-08,2019-11-06,100-4,4,100,Ae. aegypti,male,marked,1,26.523731,-82.191744
A,2019-11-08,2019-11-06,100-4,4,100,Ae. aegypti,female,unmarked,10,26.523731,-82.191744
A,2019-11-09,2019-11-06,100-4,4,100,Ae. aegypti,male,marked,1,26.523731,-82.191744
A,2019-11-09,2019-11-06,100-4,4,100,Ae. aegypti,female,unmarked,1,26.523731,-82.191744
A,2019-11-09,2019-11-06,100-4,4,100,Ae. aegypti,male,unmarked,1,26.523731,-82.191744
A,2019-11-10,2019-11-06,100-4,4,100,Ae. aegypti,male,marked,1,26.523731,-82.191744
A,2019-11-10,2019-11-06,100-4,4,100,Ae. aegypti,female,unmarked,2,26.523731,-82.191744
A,2019-11-10,2019-11-06,100-4,4,100,Ae. aegypti,male,unmarked,1,26.523731,-82.191744
A,2019-11-11,2019-11-06,100-4,4,100,Ae. aegypti,female,unmarked,7,26.523731,-82.191744
A,2019-11-06,2019-11-06,100-5,5,100,Ae. aegypti,male,marked,3,26.524412,-82.191317
A,2019-11-06,2019-11-06,100-5,5,100,Ae. aegypti,female,marked,1,26.524412,-82.191317
A,2019-11-06,2019-11-06,100-5,5,100,Ae. aegypti,female,unmarked,3,26.524412,-82.191317
A,2019-11-07,2019-11-06,100-5,5,100,Ae. aegypti,male,marked,1,26.524412,-82.191317
A,2019-11-07,2019-11-06,100-5,5,100,Ae. aegypti,female,unmarked,5,26.524412,-82.191317
A,2019-11-08,2019-11-06,100-5,5,100,Ae. aegypti,male,unmarked,1,26.524412,-82.191317
A,2019-11-10,2019-11-06,100-5,5,100,Ae. aegypti,female,unmarked,3,26.524412,-82.191317
