round,date,release,trap_ID,sample,species,gender,marking_status,n_adults,lat,long,day_collection,distance,ID
A,11/7/2019,11/6/2019,100-1,1,Ae. aegypti,female,unmarked,1,26.523715,-82.18971,1,100,1
A,11/6/2019,11/6/2019,100-2,2,Ae. aegypti,male,marked,4,26.522929,-82.190153,0,100,2
A,11/6/2019,11/6/2019,100-2,2,Ae. aegypti,female,unmarked,1,26.522929,-82.190153,0,100,2
A,11/7/2019,11/6/2019,100-2,2,Ae. aegypti,male,marked,1,26.522929,-82.190153,1,100,2
A,11/7/2019,11/6/2019,100-2,2,Ae. aegypti,female,unmarked,1,26.522929,-82.190153,1,100,2
A,11/7/2019,11/6/2019,100-2,2,Ae. aegypti,male,unmarked,1,26.522929,-82.190153,1,100,2
A,11/9/2019,11/6/2019,100-2,2,Ae. aegypti,male,unmarked,1,26.522929,-82.190153,3,100,2
A,11/10/2019,11/6/2019,100-2,2,Ae. aegypti,male,marked,1,26.522929,-82.190153,4,100,2
A,11/10/2019,11/6/2019,100-2,2,Ae. aegypti,female,unmarked,2,26.522929,-82.190153,4,100,2
A,11/10/2019,11/6/2019,100-2,2,Ae. aegypti,male,unmarked,1,26.522929,-82.190153,4,100,2
A,11/6/2019,11/6/2019,100-3,3,Ae. aegypti,female,marked,2,26.522949,-82.191294,0,100,3
A,11/6/2019,11/6/2019,100-3,3,Ae. aegypti,male,marked,11,26.522949,-82.191294,0,100,3
A,11/6/2019,11/6/2019,100-3,3,Ae. aegypti,female,unmarked,2,26.522949,-82.191294,0,100,3
A,11/6/2019,11/6/2019,100-3,3,Ae. aegypti,male,unmarked,2,26.522949,-82.191294,0,100,3
A,11/7/2019,11/6/2019,100-3,3,Ae. aegypti,male,marked,3,26.522949,-82.191294,1,100,3
A,11/7/2019,11/6/2019,100-3,3,Ae. aegypti,female,unmarked,3,26.522949,-82.191294,1,100,3
A,11/9/2019,11/6/2019,100-3,3,Ae. aegypti,female,unmarked,4,26.522949,-82.191294,3,100,3
A,11/10/2019,11/6/2019,100-3,3,Ae. aegypti,female,unmarked,7,26.522949,-82.191294,4,100,3
A,11/11/2019,11/6/2019,100-3,3,Ae. aegypti,female,unmarked,2,26.522949,-82.191294,5,100,3
A,11/6/2019,11/6/2019,100-4,4,Ae. aegypti,male,marked,4,26.523731,-82.191744,0,100,4
A,11/7/2019,11/6/2019,100-4,4,Ae. aegypti,female,marked,1,26.523731,-82.191744,1,100,4
A,11/7/2019,11/6/2019,100-4,4,Ae. aegypti,male,marked,6,26.523731,-82.191744,1,100,4
A,11/7/2019,11/6/2019,100-4,4,Ae. aegypti,female,unmarked,5,26.523731,-82.191744,1,100,4
A,11/7/2019,11/6/2019,100-4,4,Ae. aegypti,male,unmarked,1,26.523731,-82.191744,1,100,4
A,11/8/2019,11/6/2019,100-4,4,Ae. aegypti,female,marked,1,26.523731,-82.191744,2,100,4
A,11/8/2019,11/6/2019,100-4,4,Ae. aegypti,male,marked,1,26.523731,-82.191744,2,100,4
A,11/8/2019,11/6/2019,100-4,4,Ae. aegypti,female,unmarked,10,26.523731,-82.191744,2,100,4
A,11/9/2019,11/6/2019,100-4,4,Ae. aegypti,male,marked,1,26.523731,-82.191744,3,100,4
A,11/9/2019,11/6/2019,100-4,4,Ae. aegypti,female,unmarked,1,26.523731,-82.191744,3,100,4
A,11/9/2019,11/6/2019,100-4,4,Ae. aegypti,male,unmarked,1,26.523731,-82.191744,3,100,4
A,11/10/2019,11/6/2019,100-4,4,Ae. aegypti,male,marked,1,26.523731,-82.191744,4,100,4
A,11/10/2019,11/6/2019,100-4,4,Ae. aegypti,female,unmarked,2,26.523731,-82.191744,4,100,4
A,11/10/2019,11/6/2019,100-4,4,Ae. aegypti,male,unmarked,1,26.523731,-82.191744,4,100,4
A,11/11/2019,11/6/2019,100-4,4,Ae. aegypti,female,unmarked,7,26.523731,-82.191744,5,100,4
A,11/6/2019,11/6/2019,100-5,5,Ae. aegypti,male,marked,3,26.524412,-82.191317,0,100,5
A,11/6/2019,11/6/2019,100-5,5,Ae. aegypti,female,marked,1,26.524412,-82.191317,0,100,5
A,11/6/2019,11/6/2019,100-5,5,Ae. aegypti,female,unmarked,3,26.524412,-82.191317,0,100,5
A,11/7/2019,11/6/2019,100-5,5,Ae. aegypti,male,marked,1,26.524412,-82.191317,1,100,5
A,11/7/2019,11/6/2019,100-5,5,Ae. aegypti,female,unmarked,5,26.524412,-82.191317,1,100,5
A,11/8/2019,11/6/2019,100-5,5,Ae. aegypti,male,unmarked,1,26.524412,-82.191317,2,100,5
A,11/10/2019,11/6/2019,100-5,5,Ae. aegypti,female,unmarked,3,26.524412,-82.191317,4,100,5
A,11/10/2019,11/6/2019,100-5,5,Ae. aegypti,male,unmarked,2,26.524412,-82.191317,4,100,5
A,11/11/2019,11/6/2019,100-5,5,Ae. aegypti,male,marked,1,26.524412,-82.191317,5,100,5
A,11/11/2019,11/6/2019,100-5,5,Ae. aegypti,female,unmarked,2,26.524412,-82.191317,5,100,5
A,11/6/2019,11/6/2019,100-6,6,Ae. aegypti,male,marked,4,26.524506,-82.190228,0,100,6
A,11/6/2019,11/6/2019,100-6,6,Ae. aegypti,female,unmarked,1,26.524506,-82.190228,0,100,6
A,11/7/2019,11/6/2019,100-6,6,Ae. aegypti,male,marked,2,26.524506,-82.190228,1,100,6
A,11/7/2019,11/6/2019,100-6,6,Ae. aegypti,male,unmarked,5,26.524506,-82.190228,1,100,6
A,11/10/2019,11/6/2019,100-6,6,Ae. aegypti,male,unmarked,1,26.524506,-82.190228,4,100,6
A,11/6/2019,11/6/2019,150-1,1,Ae. aegypti,male,marked,2,26.523753,-82.189125,0,150,1
A,11/6/2019,11/6/2019,150-1,1,Ae. aegypti,female,unmarked,5,26.523753,-82.189125,0,150,1
A,11/7/2019,11/6/2019,150-1,1,Ae. aegypti,male,marked,1,26.523753,-82.189125,1,150,1
A,11/7/2019,11/6/2019,150-1,1,Ae. aegypti,female,unmarked,3,26.523753,-82.189125,1,150,1
A,11/7/2019,11/6/2019,150-1,1,Ae. aegypti,male,unmarked,1,26.523753,-82.189125,1,150,1
A,11/8/2019,11/6/2019,150-1,1,Ae. aegypti,female,unmarked,1,26.523753,-82.189125,2,150,1
A,11/9/2019,11/6/2019,150-1,1,Ae. aegypti,female,unmarked,3,26.523753,-82.189125,3,150,1
A,11/9/2019,11/6/2019,150-1,1,Ae. aegypti,male,unmarked,1,26.523753,-82.189125,3,150,1
A,11/11/2019,11/6/2019,150-1,1,Ae. aegypti,female,unmarked,2,26.523753,-82.189125,5,150,1
A,11/11/2019,11/6/2019,150-1,1,Ae. aegypti,male,unmarked,1,26.523753,-82.189125,5,150,1
A,11/6/2019,11/6/2019,150-2,2,Ae. aegypti,male,marked,7,26.522667,-82.189552,0,150,2
A,11/6/2019,11/6/2019,150-2,2,Ae. aegypti,female,unmarked,4,26.522667,-82.189552,0,150,2
A,11/6/2019,11/6/2019,150-2,2,Ae. aegypti,male,unmarked,2,26.522667,-82.189552,0,150,2
A,11/7/2019,11/6/2019,150-2,2,Ae. aegypti,female,unmarked,5,26.522667,-82.189552,1,150,2
A,11/9/2019,11/6/2019,150-2,2,Ae. aegypti,female,unmarked,5,26.522667,-82.189552,3,150,2
A,11/9/2019,11/6/2019,150-2,2,Ae. aegypti,male,unmarked,1,26.522667,-82.189552,3,150,2
A,11/10/2019,11/6/2019,150-2,2,Ae. aegypti,male,marked,1,26.522667,-82.189552,4,150,2
A,11/10/2019,11/6/2019,150-2,2,Ae. aegypti,female,unmarked,9,26.522667,-82.189552,4,150,2
A,11/11/2019,11/6/2019,150-2,2,Ae. aegypti,female,unmarked,4,26.522667,-82.189552,5,150,2
A,11/11/2019,11/6/2019,150-2,2,Ae. aegypti,male,unmarked,2,26.522667,-82.189552,5,150,2
A,11/7/2019,11/6/2019,150-3,3,Ae. aegypti,female,unmarked,4,26.522328,-82.190635,1,150,3
