round,date,container,irradiaton,estimates,no.pupae,no.adult,evaluation
A,2019-11-06,1,2,1345,65,1,before
A,2019-11-06,2,2,1245,37,0,before
A,2019-11-06,3,1,1287,26,0,before
A,2019-11-06,4,2,1344,86,0,before
A,2019-11-06,5,2,1244,50,4,before
A,2019-11-06,6,1,1287,20,0,before
A,2019-11-06,7,2,1069,20,3,before
A,2019-11-06,8,1,1420,37,0,before
A,2019-11-06,9,2,1070,321,0,before
A,2019-11-06,10,1,1420,16,0,before
A,2019-11-06,1,2,1345,12,189,after
A,2019-11-06,2,2,1245,57,247,after
A,2019-11-06,3,1,1287,6,73,after
A,2019-11-06,4,2,1344,6,171,after
A,2019-11-06,5,2,1244,0,226,after
A,2019-11-06,6,1,1287,2,202,after
A,2019-11-06,7,2,1069,4,52,after
A,2019-11-06,8,1,1420,6,33,after
A,2019-11-06,9,2,1070,9,212,after
A,2019-11-06,10,1,1420,3,35,after
B,2020-03-09,1,,7273,0,0,after
C1,2020-05-19,1,,2200,87,0,before
C1,2020-05-19,2,,2200,87,0,before
C1,2020-05-19,3,,2200,81,0,before
C1,2020-05-19,4,,2200,90,0,before
C1,2020-05-19,5,,2200,150,0,before
C1,2020-05-19,6,,2200,59,0,before
C1,2020-05-19,7,,2200,51,0,before
C1,2020-05-19,8,,2200,101,0,before
C1,2020-05-19,9,,2200,79,0,before
C1,2020-05-19,10,,2200,49,0,before
C1,2020-05-19,11,,2200,114,0,before
C1,2020-05-19,12,,2200,48,0,before
C1,2020-05-19,13,,2200,364,0,before
C1,2020-05-19,14,,2200,496,0,before
C1,2020-05-19,15,,2200,609,0,before
C1,2020-05-19,1,,2200,2,679,after
C1,2020-05-19,2,,2200,2,524,after
C1,2020-05-19,3,,2200,4,427,after
C1,2020-05-19,4,,2200,5,315,after
C1,2020-05-19,5,,2200,5,420,after
C1,2020-05-19,6,,2200,12,548,after
C1,2020-05-19,7,,2200,8,502,after
C1,2020-05-19,8,,2200,0,1234,after
C1,2020-05-19,9,,2200,3,316,after
C1,2020-05-19,10,,2200,2,290,after
C1,2020-05-19,11,,2200,6,505,after
C1,2020-05-19,12,,2200,7,1016,after
C1,2020-05-19,13,,2200,11,1105,after
C1,2020-05-19,14,,2200,5,590,after
C1,2020-05-19,15,,2200,0,117,after
C2,2020-05-19,1,,2200,0,0,before
C2,2020-05-19,2,,2200,0,0,before
C2,2020-05-19,3,,2200,0,0,before
C2,2020-05-19,4,,2200,0,0,before
C2,2020-05-19,5,,2200,0,0,before
C2,2020-05-19,6,,2200,0,0,before
C2,2020-05-19,7,,2200,0,0,before
C2,2020-05-19,8,,2200,0,0,before
C2,2020-05-19,9,,2200,0,0,before
C2,2020-05-19,10,,2200,0,0,before
C2,2020-05-19,11,,2200,0,0,before
C2,2020-05-19,12,,2200,0,0,before
C2,2020-05-19,13,,2200,0,0,before
C2,2020-05-19,14,,2200,0,0,before
C2,2020-05-19,15,,2200,0,0,before
C2,2020-05-19,1,,2200,15,345,after
C2,2020-05-19,2,,2200,12,170,after
C2,2020-05-19,3,,2200,17,225,after
C2,2020-05-19,4,,2200,13,563,after
C2,2020-05-19,5,,2200,16,938,after
C2,2020-05-19,6,,2200,10,473,after
C2,2020-05-19,7,,2200,15,359,after
C2,2020-05-19,8,,2200,31,555,after
C2,2020-05-19,9,,2200,10,165,after
C2,2020-05-19,10,,2200,11,323,after
C2,2020-05-19,11,,2200,2,299,after
C2,2020-05-19,12,,2200,12,503,after
C2,2020-05-19,13,,2200,39,321,after
C2,2020-05-19,14,,2200,53,341,after
C2,2020-05-19,15,,2200,1,252,after
D,2020-08-12,1,,2200,10,0,before
D,2020-08-12,2,,2200,9,0,before
D,2020-08-12,3,,2200,12,0,before
D,2020-08-12,4,,2200,16,1,before
D,2020-08-12,5,,2200,12,0,before
D,2020-08-12,6,,2200,19,0,before
D,2020-08-12,7,,2200,15,0,before
D,2020-08-12,8,,2200,23,1,before
D,2020-08-12,9,,2200,9,0,before
D,2020-08-12,10,,2200,21,0,before
