,ID,SIT.BG.Traps,date_collection,date_release,sex,species,source,trap,number,days,treatment,lat.r,lon.r,lat.t,lon.t,distance
20,blue 1,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,1,0,15,release,29.899722,-81.301944,29.89916667,-81.30333333,147.6400565
28,blue 1,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,1,0,9,release,29.899722,-81.301944,29.89916667,-81.30333333,147.6400565
30,blue 1,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,1,0,1,release,29.899722,-81.301944,29.89916667,-81.30333333,147.6400565
33,blue 1,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,1,0,7,release,29.899722,-81.301944,29.89916667,-81.30333333,147.6400565
35,blue 1,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,1,0,3,release,29.899722,-81.301944,29.89916667,-81.30333333,147.6400565
55,blue 10,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,10,0,15,release,29.899722,-81.301944,29.8975,-81.30138889,253.0864251
63,blue 10,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,10,0,9,release,29.899722,-81.301944,29.8975,-81.30138889,253.0864251
65,blue 10,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,10,0,1,release,29.899722,-81.301944,29.8975,-81.30138889,253.0864251
68,blue 10,Ae. aegypti - Blue,5/22/2018,5/15/2018,male,Ae. Aegypti,blue,10,0,7,release,29.899722,-81.301944,29.8975,-81.30138889,253.0864251
70,blue 10,Ae. aegypti - Blue,5/18/2018,5/15/2018,male,Ae. Aegypti,blue,10,0,3,release,29.899722,-81.301944,29.8975,-81.30138889,253.0864251
90,blue 11,Ae. aegypti - Blue,5/30/2018,5/15/2018,male,Ae. Aegypti,blue,11,0,15,release,29.899722,-81.301944,29.89777778,-81.29944444,324.0791891
98,blue 11,Ae. aegypti - Blue,5/24/2018,5/15/2018,male,Ae. Aegypti,blue,11,0,9,release,29.899722,-81.301944,29.89777778,-81.29944444,324.0791891
100,blue 11,Ae. aegypti - Blue,5/16/2018,5/15/2018,male,Ae. Aegypti,blue,11,0,1,release,29.899722,-81.301944,29.89777778,-81.29944444,324.0791891
