long,lat,points,color,hexa_color
-82.1925385,26.52122175,R1,canary,#ffe135
-82.19128486,26.52078161,R2,canary,#ffe135
-82.1898617,26.52064128,R3,canary,#ffe135
-82.18896772,26.52198633,R4,blue,#0080ff
-82.19033238,26.52203475,R5,red,#ff0000
-82.191987,26.52210947,R6,red,#ff0000
-82.18872724,26.52308904,R7,blue,#0080ff
-82.18983341,26.52293843,R8,red,#ff0000
-82.1913664,26.52301911,R9,red,#ff0000
-82.19262507,26.52305863,R10,red,#ff0000
-82.19042256,26.52369688,R11,red,#ff0000
-82.19207372,26.52377035,R12,red,#ff0000
-82.18886811,26.5240383,R13,blue,#0080ff
-82.18986021,26.52481836,R14,neon,#bfff00
-82.1916126,26.52461636,R15,neon,#bfff00
